ID,RA,DEC,RA_1,DEC_1,RA_2,DEC_2,Name,ID_FDS2022,Morph_Legacy_Analia,Vr_NED/Maddox,e_Vr,Vr_Ref,Ag,Ar,Ai,Az
2,03:11:27,-33:25:02,47.8625,-33.41722222222222,0.0,0.0,FCC_1,-,LSB,0.0,0.0,-,0.059,0.041,0.03,0.022
7x,03:17:42,-37:08:39,49.425,-37.14416666666666,0.0,0.0,FCC_4,-,LSB,0.0,0.0,-,0.081,0.056,0.041,0.031
12x,03:21:43,-35:55:30,50.42916666666667,-35.925,0.0,0.0,FCC_16,-,LSB,0.0,0.0,-,0.076,0.053,0.039,0.029
13,03:22:06,-37:08:34,50.525,-37.14277777777779,0.0,0.0,-,-,LSB,0.0,0.0,-,0.066,0.046,0.034,0.025
26,03:23:13,-37:08:22,50.80416666666667,-37.13944444444445,0.0,0.0,-,-,LSB,0.0,0.0,-,0.07,0.048,0.036,0.027
28,03:23:27,-36:26:18,50.862500000000004,-36.43833333333333,0.0,0.0,-,-,LSB,0.0,0.0,-,0.063,0.044,0.033,0.024
31,03:23:31,-36:49:32,50.87916666666666,-36.82555555555555,0.0,0.0,-,-,LSB,0.0,0.0,-,0.067,0.046,0.034,0.026
14x,03:23:56,-34:48:27,50.98333333333334,-34.8075,0.0,0.0,FCC_27,-,LSB,0.0,0.0,-,0.035,0.024,0.018,0.013
7y,03:24:50,-34:36:12,51.209236316736,-34.60341483250637,0.0,0.0,LSBG_F358-071,-,LSB,0.0,0.0,-,0.035,0.024,0.018,0.013
50,03:25:22,-37:04:20,51.34166666666667,-37.07222222222222,0.0,0.0,-,-,LSB,0.0,0.0,-,0.068,0.047,0.035,0.026
52,03:25:32,-36:28:17,51.38333333333333,-36.47138888888889,0.0,0.0,-,-,LSB,0.0,0.0,-,0.042,0.029,0.022,0.016
57,03:26:00,-36:23:52,51.5,-36.39777777777778,0.0,0.0,-,-,LSB,0.0,0.0,-,0.041,0.028,0.021,0.016
58,03:26:01,-36:47:40,51.50416666666666,-36.794444444444444,0.0,0.0,NGFS_J032601-364740,-,LSB,0.0,0.0,-,0.054,0.037,0.028,0.021
59,03:26:01,-36:42:23,51.50416666666666,-36.70638888888889,51.5055,-36.7063,NGFS_J032601-364224,FDSLSB71,LSB,0.0,0.0,-,0.046,0.032,0.024,0.017
67,03:26:36,-37:18:55,51.65,-37.31527777777778,0.0,0.0,-,-,LSB,0.0,0.0,-,0.065,0.045,0.034,0.025
69,03:26:38,-36:48:43,51.65833333333333,-36.81194444444444,0.0,0.0,NGFS_J032638-364843,-,LSB,0.0,0.0,-,0.048,0.033,0.025,0.018
73,03:26:53,-36:47:57,51.72083333333333,-36.799166666666665,0.0,0.0,FCC_51,-,LSB,0.0,0.0,-,0.044,0.031,0.023,0.017
76,03:26:54,-33:56:45,51.725,-33.94583333333333,0.0,0.0,-,-,LSB,0.0,0.0,-,0.035,0.024,0.018,0.013
77,03:26:56,-37:32:52,51.733333333333334,-37.54777777777778,0.0,0.0,FCC_B435,-,LSB,0.0,0.0,-,0.07,0.049,0.036,0.027
80,03:27:08,-35:08:04,51.78333333333334,-35.13444444444445,51.7815,-35.1349,NGFS_J032708-350805,FDSLSB205,LSB,0.0,0.0,-,0.045,0.031,0.023,0.017
81,03:27:08,-34:24:00,51.78333333333334,-34.4,0.0,0.0,FCC_52,-,LSB,0.0,0.0,-,0.035,0.024,0.018,0.014
